Datetime,Open,High,Low,Close,Volume
2024-02-14 09:50:00,184.18,184.34,184.165,184.2,174240
2024-02-14 09:51:00,184.195,184.29,184.12,184.1267,103864
2024-02-14 09:52:00,184.12,184.19,184.05,184.1,107382
2024-02-14 09:53:00,184.1,184.1198,184.02,184.03,111623
2024-02-14 09:54:00,184.024,184.064,183.91,183.9496,172213
2024-02-14 09:55:00,183.94,184.205,183.92,184.16,133740
2024-02-14 09:56:00,184.15,184.16,184.075,184.1152,78255
2024-02-14 09:57:00,184.115,184.17,184.04,184.08,74870
2024-02-14 09:58:00,184.09,184.1065,183.99,184.01,95259
2024-02-14 09:59:00,184.02,184.08,183.96,184.02,119405
2024-02-14 10:00:00,184.03,184.1816,184.03,184.09,152970
2024-02-14 10:01:00,184.09,184.155,184.02,184.035,142053
2024-02-14 10:02:00,184.03,184.035,183.6605,183.69,246082
2024-02-14 10:03:00,183.685,183.82,183.62,183.75,164706
2024-02-14 10:04:00,183.75,183.84,183.63,183.83,139666
2024-02-14 10:05:00,183.805,183.955,183.805,183.915,143895
2024-02-14 10:06:00,183.9154,183.9299,183.78,183.815,114700
2024-02-14 10:07:00,183.815,183.86,183.57,183.7,210168
2024-02-14 10:08:00,183.71,183.754,183.66,183.68,118269
2024-02-14 10:09:00,183.67,183.67,183.42,183.515,243084
2024-02-14 10:10:00,183.56,183.6701,183.5143,183.62,165739
2024-02-14 10:11:00,183.625,183.7801,183.625,183.72,116927
2024-02-14 10:12:00,183.715,183.77,183.62,183.74,83114
2024-02-14 10:13:00,183.77,183.8,183.69,183.715,75841
2024-02-14 10:14:00,183.71,183.775,183.6,183.605,81795
2024-02-14 10:15:00,183.607,183.73,183.59,183.73,102762
2024-02-14 10:16:00,183.735,183.92,183.7,183.91,115147
2024-02-14 10:17:00,183.91,184.04,183.91,184.0376,197130
2024-02-14 10:18:00,184.0399,184.066,183.9101,183.99,114015
2024-02-14 10:19:00,184.0,184.16,183.98,184.07,124703
2024-02-14 10:20:00,184.07,184.2324,184.035,184.21,114617
2024-02-14 10:21:00,184.2,184.27,184.13,184.2486,121009
2024-02-14 10:22:00,184.255,184.265,184.05,184.13,113937
2024-02-14 10:23:00,184.14,184.14,184.01,184.05,93921
2024-02-14 10:24:00,184.05,184.07,183.92,184.034,146863
2024-02-14 10:25:00,184.035,184.035,183.9,183.91,94601
2024-02-14 10:26:00,183.91,183.95,183.8,183.9,89593
2024-02-14 10:27:00,183.9012,183.97,183.84,183.87,96821
2024-02-14 10:28:00,183.885,183.95,183.75,183.7675,93141
2024-02-14 10:29:00,183.77,183.805,183.69,183.8,118125
2024-02-14 10:30:00,183.805,183.83,183.69,183.735,117105
2024-02-14 10:31:00,183.735,183.735,183.615,183.615,129892
2024-02-14 10:32:00,183.625,183.69,183.59,183.68,138069
2024-02-14 10:33:00,183.67,183.795,183.67,183.7039,107932
2024-02-14 10:34:00,183.705,183.7099,183.575,183.6367,124446
2024-02-14 10:35:00,183.63,183.6994,183.6,183.685,81727
2024-02-14 10:36:00,183.69,183.855,183.66,183.855,101765
2024-02-14 10:37:00,183.86,183.925,183.7602,183.875,160807
2024-02-14 10:38:00,183.875,183.93,183.8,183.83,103059
2024-02-14 10:39:00,183.835,183.9099,183.815,183.86,71367
2024-02-14 10:40:00,183.86,183.94,183.74,183.94,80087
2024-02-14 10:41:00,183.945,183.95,183.77,183.85,79095
2024-02-14 10:42:00,183.84,183.95,183.8311,183.915,76560
2024-02-14 10:43:00,183.915,183.96,183.725,183.735,101672
2024-02-14 10:44:00,183.7387,183.864,183.72,183.74,68395
2024-02-14 10:45:00,183.74,183.77,183.68,183.766,81351
2024-02-14 10:46:00,183.765,183.86,183.75,183.81,102463
2024-02-14 10:47:00,183.82,183.8587,183.76,183.81,73980
2024-02-14 10:48:00,183.82,183.8553,183.67,183.68,76001
2024-02-14 10:49:00,183.7099,183.79,183.64,183.76,51002
2024-02-14 10:50:00,183.765,183.8599,183.59,183.59,91216
2024-02-14 10:51:00,183.58,183.605,183.35,183.43,237116
2024-02-14 10:52:00,183.43,183.45,183.36,183.43,114089
2024-02-14 10:53:00,183.4283,183.46,183.36,183.4,83867
2024-02-14 10:54:00,183.39,183.39,183.11,183.2,266155
2024-02-14 10:55:00,183.1976,183.349,183.11,183.315,150912
2024-02-14 10:56:00,183.315,183.39,183.2411,183.295,96563
2024-02-14 10:57:00,183.295,183.39,183.23,183.2719,102819
2024-02-14 10:58:00,183.27,183.365,183.25,183.345,89421
2024-02-14 10:59:00,183.35,183.41,183.17,183.1801,124239
2024-02-14 11:00:00,183.185,183.185,182.89,182.9701,322176
2024-02-14 11:01:00,182.97,183.0475,182.8035,182.8599,159515
2024-02-14 11:02:00,182.855,183.02,182.82,183.005,135364
2024-02-14 11:03:00,183.0166,183.11,182.97,183.095,90204
2024-02-14 11:04:00,183.11,183.15,182.99,183.0,113841
2024-02-14 11:05:00,183.01,183.165,182.97,183.1307,116761
2024-02-14 11:06:00,183.13,183.23,183.08,183.22,62809
2024-02-14 11:07:00,183.215,183.355,183.204,183.3,91839
2024-02-14 11:08:00,183.29,183.32,183.22,183.285,52776
2024-02-14 11:09:00,183.28,183.33,183.175,183.185,61844
2024-02-14 11:10:00,183.18,183.23,183.105,183.225,90982
2024-02-14 11:11:00,183.23,183.29,183.17,183.22,79752
2024-02-14 11:12:00,183.22,183.2399,183.0814,183.12,98838
2024-02-14 11:13:00,183.11,183.2399,183.11,183.21,73832
2024-02-14 11:14:00,183.2181,183.24,182.99,183.01,114324
2024-02-14 11:15:00,183.005,183.08,182.95,182.975,99569
2024-02-14 11:16:00,182.975,183.205,182.96,183.2001,95741
2024-02-14 11:17:00,183.2,183.25,183.11,183.21,70666
2024-02-14 11:18:00,183.2102,183.28,183.195,183.265,67233
2024-02-14 11:19:00,183.27,183.365,183.24,183.2862,83708
2024-02-14 11:20:00,183.265,183.265,183.09,183.095,69026
2024-02-14 11:21:00,183.1,183.2,183.04,183.2,62355
2024-02-14 11:22:00,183.205,183.31,183.19,183.23,60821
2024-02-14 11:23:00,183.23,183.31,183.2101,183.255,66686
2024-02-14 11:24:00,183.26,183.49,183.255,183.485,118663
2024-02-14 11:25:00,183.4888,183.59,183.4825,183.52,157285
2024-02-14 11:26:00,183.5201,183.525,183.3886,183.42,64375
2024-02-14 11:27:00,183.4225,183.44,183.37,183.44,48242
2024-02-14 11:28:00,183.445,183.52,183.41,183.445,67368
2024-02-14 11:29:00,183.435,183.51,183.4,183.49,59124
2024-02-14 11:30:00,183.49,183.54,183.43,183.525,77859
2024-02-14 11:31:00,183.52,183.565,183.44,183.54,72901
2024-02-14 11:32:00,183.5547,183.56,183.48,183.545,53023
2024-02-14 11:33:00,183.5424,183.59,183.47,183.47,58280
2024-02-14 11:34:00,183.47,183.55,183.4,183.405,82679
2024-02-14 11:35:00,183.41,183.6,183.41,183.56,98712
2024-02-14 11:36:00,183.56,183.56,183.4417,183.46,84662
2024-02-14 11:37:00,183.46,183.555,183.46,183.535,41521
2024-02-14 11:38:00,183.5399,183.55,183.48,183.514,47868
2024-02-14 11:39:00,183.515,183.54,183.47,183.516,43653
2024-02-14 11:40:00,183.515,183.515,183.4227,183.51,35840
2024-02-14 11:41:00,183.515,183.58,183.47,183.475,53321
2024-02-14 11:42:00,183.475,183.503,183.42,183.486,57937
2024-02-14 11:43:00,183.48,183.48,183.21,183.235,117502
2024-02-14 11:44:00,183.24,183.37,183.22,183.23,56021
2024-02-14 11:45:00,183.235,183.32,183.2001,183.32,53198
2024-02-14 11:46:00,183.32,183.38,183.24,183.325,60918
2024-02-14 11:47:00,183.32,183.325,183.26,183.26,54522
2024-02-14 11:48:00,183.265,183.305,183.2,183.225,63192
2024-02-14 11:49:00,183.225,183.235,183.17,183.194,45331
2024-02-14 11:50:00,183.19,183.2,183.0902,183.125,81703
2024-02-14 11:51:00,183.1297,183.13,183.082,183.105,69152
2024-02-14 11:52:00,183.1,183.16,183.07,183.095,73925
2024-02-14 11:53:00,183.096,183.12,183.0419,183.06,59785
2024-02-14 11:54:00,183.0671,183.235,183.06,183.1567,79274
2024-02-14 11:55:00,183.16,183.2199,183.08,183.135,44915
2024-02-14 11:56:00,183.1347,183.14,183.07,183.13,60937
2024-02-14 11:57:00,183.125,183.125,182.93,183.0199,120306
2024-02-14 11:58:00,183.02,183.11,183.0,183.0368,56839
2024-02-14 11:59:00,183.035,183.035,182.97,182.995,82172
2024-02-14 12:00:00,183.0,183.015,182.87,182.88,91252
2024-02-14 12:01:00,182.88,182.94,182.82,182.835,73691
2024-02-14 12:02:00,182.835,182.835,182.67,182.6936,136089
2024-02-14 12:03:00,182.695,182.83,182.66,182.7124,149961
2024-02-14 12:04:00,182.745,182.745,182.67,182.69,79448
2024-02-14 12:05:00,182.68,182.7099,182.59,182.61,132940
2024-02-14 12:06:00,182.6,182.698,182.51,182.6923,113717
2024-02-14 12:07:00,182.695,182.78,182.655,182.665,72129
2024-02-14 12:08:00,182.66,182.7,182.645,182.69,57458
2024-02-14 12:09:00,182.68,182.7,182.655,182.66,74497
2024-02-14 12:10:00,182.66,182.78,182.66,182.7564,61972
2024-02-14 12:11:00,182.76,182.79,182.69,182.79,72551
2024-02-14 12:12:00,182.78,182.82,182.724,182.79,53898
2024-02-14 12:13:00,182.7899,182.8261,182.745,182.7471,45645
2024-02-14 12:14:00,182.745,182.7517,182.685,182.695,48994
2024-02-14 12:15:00,182.69,182.71,182.64,182.6572,89735
2024-02-14 12:16:00,182.66,182.83,182.655,182.815,77168
2024-02-14 12:17:00,182.825,182.83,182.75,182.785,75557
2024-02-14 12:18:00,182.78,182.78,182.67,182.685,76782
